"route","method","resource","action","account_scope","current_authentication","current_permission_check","required_permission","negative_test","migration_impact","mounted","source_file","source_line"
"/admin/manifest","GET","admin","list","system","none (public build metadata)","none beyond current authentication","public read limited to published/non-secret data","unexpected Authorization does not widen data; unpublished/secret/cross-account object=404; mutation is rate-limited and replay-safe","no tenant-key migration; preserve operational authentication and audit","yes","apps/worker/src/routes/admin-version.ts","36"
"/admin/update/history","GET","admin","list","system","x-admin-api-key router middleware","admin API key","owner|admin|staff + admin.read","unauthenticated=401","no tenant-key migration; preserve operational authentication and audit","yes","apps/worker/src/routes/admin-update.ts","353"
"/admin/update/start","POST","admin","create","system","x-admin-api-key router middleware","account predicate/derivation present in handler; admin API key","owner|admin + admin.create","unauthenticated=401; staff role=403; cookie without CSRF=403","no tenant-key migration; preserve operational authentication and audit","yes","apps/worker/src/routes/admin-update.ts","130"
"/admin/update/status/:id","GET","admin","read","system","x-admin-api-key router middleware","admin API key","owner|admin|staff + admin.read","unauthenticated=401","no tenant-key migration; preserve operational authentication and audit","yes","apps/worker/src/routes/admin-update.ts","233"
"/admin/update/stream/:id","GET","admin","read","system","x-admin-api-key router middleware","admin API key","owner|admin|staff + admin.read","unauthenticated=401","no tenant-key migration; preserve operational authentication and audit","yes","apps/worker/src/routes/admin-update.ts","269"
"/admin/version","GET","admin","list","system","none (public build metadata)","none beyond current authentication","public read limited to published/non-secret data","unexpected Authorization does not widen data; unpublished/secret/cross-account object=404; mutation is rate-limited and replay-safe","no tenant-key migration; preserve operational authentication and audit","yes","apps/worker/src/routes/admin-version.ts","26"
"/api/account-settings/link-base-url","GET","account-settings","list","line_account","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin|staff + required line_account context + account-settings.read","unauthenticated=401; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/account-settings.ts","67"
"/api/account-settings/link-base-url","PUT","account-settings","update","line_account","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin + required line_account context + account-settings.update","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/account-settings.ts","79"
"/api/account-settings/test-recipients","GET","account-settings","list","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin|staff + required line_account context + account-settings.read","unauthenticated=401; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/account-settings.ts","13"
"/api/account-settings/test-recipients","PUT","account-settings","update","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + required line_account context + account-settings.update","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/account-settings.ts","42"
"/api/account-settings/tracked-link-base-url","GET","account-settings","list","line_account","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin|staff + required line_account context + account-settings.read","unauthenticated=401; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/account-settings.ts","98"
"/api/account-settings/tracked-link-base-url","PUT","account-settings","update","line_account","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin + required line_account context + account-settings.update","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/account-settings.ts","103"
"/api/accounts/:id/health","GET","accounts","read","cross_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + explicit target LINE account set + audit + cross_account.accounts.read","unauthenticated=401; non-selected LINE account ID/query swap=404; undeclared target LINE account rejects the whole operation","no enterprise tenant migration; add explicit target LINE account snapshot, authorization decision, and audit record","yes","apps/worker/src/routes/health.ts","27"
"/api/accounts/:id/migrate","POST","accounts","migrate","cross_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + explicit target LINE account set + audit + cross_account.accounts.migrate","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404; undeclared target LINE account rejects the whole operation","no enterprise tenant migration; add explicit target LINE account snapshot, authorization decision, and audit record","yes","apps/worker/src/routes/health.ts","79"
"/api/accounts/migrations","GET","accounts","list","cross_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + explicit target LINE account set + audit + cross_account.accounts.list","unauthenticated=401; non-selected LINE account ID/query swap=404; undeclared target LINE account rejects the whole operation","no enterprise tenant migration; add explicit target LINE account snapshot, authorization decision, and audit record","yes","apps/worker/src/routes/health.ts","57"
"/api/accounts/migrations/:migrationId","GET","accounts","read","cross_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + explicit target LINE account set + audit + cross_account.accounts.read","unauthenticated=401; non-selected LINE account ID/query swap=404; undeclared target LINE account rejects the whole operation","no enterprise tenant migration; add explicit target LINE account snapshot, authorization decision, and audit record","yes","apps/worker/src/routes/health.ts","122"
"/api/ad-platforms","GET","ad-platforms","list","line_account","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin|staff + required line_account context + ad-platforms.read","unauthenticated=401; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/ad-platforms.ts","29"
"/api/ad-platforms","POST","ad-platforms","create","line_account","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin + required line_account context + ad-platforms.create","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/ad-platforms.ts","51"
"/api/ad-platforms/:id","DELETE","ad-platforms","delete","line_account","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin + required line_account context + ad-platforms.delete","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/ad-platforms.ts","162"
"/api/ad-platforms/:id","PUT","ad-platforms","update","line_account","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin + required line_account context + ad-platforms.update","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/ad-platforms.ts","93"
"/api/ad-platforms/:id/logs","GET","ad-platforms","read","line_account","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin|staff + required line_account context + ad-platforms.read","unauthenticated=401; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/ad-platforms.ts","173"
"/api/ad-platforms/test","POST","ad-platforms","test","line_account","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin + required line_account context + ad-platforms.test","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/ad-platforms.ts","127"
"/api/admin/auto-reply-stats","GET","admin","list","deployment","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin|staff + admin.read","unauthenticated=401; non-selected LINE account ID/query swap=404","no tenant-key migration; enforce deployment role policy and audit","yes","apps/worker/src/routes/profile-refresh.ts","439"
"/api/admin/automations-summary","GET","admin","list","deployment","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin|staff + admin.read","unauthenticated=401; non-selected LINE account ID/query swap=404","no tenant-key migration; enforce deployment role policy and audit","yes","apps/worker/src/routes/profile-refresh.ts","556"
"/api/admin/broadcast-coverage","POST","admin","create","deployment","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + admin.create","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","no tenant-key migration; enforce deployment role policy and audit","yes","apps/worker/src/routes/profile-refresh.ts","283"
"/api/admin/broadcasts/:id/reset-to-draft","POST","admin","create","deployment","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + admin.create","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","no tenant-key migration; enforce deployment role policy and audit","yes","apps/worker/src/routes/profile-refresh.ts","131"
"/api/admin/content-leak-check","POST","admin","create","deployment","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin + admin.create","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","no tenant-key migration; enforce deployment role policy and audit","yes","apps/worker/src/routes/profile-refresh.ts","233"
"/api/admin/friend-debug/:id","GET","admin","read","deployment","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin|staff + admin.read","unauthenticated=401; non-selected LINE account ID/query swap=404","no tenant-key migration; enforce deployment role policy and audit","yes","apps/worker/src/routes/profile-refresh.ts","584"
"/api/admin/recent-messages","GET","admin","list","deployment","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin|staff + admin.read","unauthenticated=401; non-selected LINE account ID/query swap=404","no tenant-key migration; enforce deployment role policy and audit","yes","apps/worker/src/routes/profile-refresh.ts","512"
