table,scope,tenant_key,tenant_key_mode,foreign_keys_expected,unique_constraints_expected,indexes_expected,remote_dev_present,remote_dev_row_count,remote_schema_gap,inconsistency_count,inconsistency_detail,migration_action
account_health_logs,line_account,line_account_id,direct,none,PK(id),idx_health_logs_account(line_account_id),yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,"enforce line_account FK, line_account context predicate, and account-prefixed unique/index"
account_migrations,cross_account,from_account_id + to_account_id,direct_multi,none,PK(id),none,yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,validate explicit target LINE account set; snapshot and audit targets; use composite idempotency keys
account_settings,line_account,line_account_id,direct,none,PK(id); UNIQUE(line_account_id+key),sqlite_autoindex_account_settings_2(line_account_id+key)[unique],yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,"enforce line_account FK, line_account context predicate, and account-prefixed unique/index"
ad_conversion_logs,line_account,friend_id -> friends.line_account_id,derived,none,PK(id),idx_ad_conversion_logs_status(status); idx_ad_conversion_logs_platform(ad_platform_id); idx_ad_conversion_logs_friend(friend_id),yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,validate same-account joins; add composite FK or denormalized line_account_id plus account-prefixed index
ad_platforms,line_account,line_account_id (missing),missing,none,PK(id),none,yes,0,TENANT_KEY_MISSING_BY_DESIGN,0,0 data rows; schema defect remains,add/backfill line_account_id; reconcile derived owners; add FK and account-prefixed unique/index; enforce NOT NULL after quarantine
admin_users,deployment,deployment resource boundary (no DB tenant key),deployment_boundary,none,PK(id); UNIQUE(email),sqlite_autoindex_admin_users_2(email)[unique],yes,0,none,0,0 data rows; schema defect remains,no tenant migration; enforce deployment-level role policy and per-customer resource isolation
affiliate_clicks,line_account,affiliate_id -> affiliates -> friend/account,derived_ambiguous,affiliate_id->affiliates.id[delete:CASCADE],PK(id),idx_affiliate_clicks_affiliate(affiliate_id),yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,add/backfill line_account_id; reconcile derived owners; add FK and account-prefixed unique/index; enforce NOT NULL after quarantine
affiliate_links,line_account,line_account_id,direct,offer_id->affiliate_offers.id; line_account_id->line_accounts.id; affiliate_id->affiliates.id,PK(id); UNIQUE(ref_code),idx_affiliate_links_offer(offer_id); idx_affiliate_links_affiliate(affiliate_id); sqlite_autoindex_affiliate_links_2(ref_code)[unique],no,N/A,MISSING_TABLE,N/A,table absent; row-level check impossible,"enforce line_account FK, line_account context predicate, and account-prefixed unique/index"
affiliate_offers,line_account,line_account_id,direct,scenario_id->scenarios.id; tag_id->tags.id; line_account_id->line_accounts.id,PK(id),none,no,N/A,MISSING_TABLE,N/A,table absent; row-level check impossible,"enforce line_account FK, line_account context predicate, and account-prefixed unique/index"
affiliates,deployment,deployment resource boundary (no DB tenant key),deployment_boundary,friend_id->friends.id,PK(id); UNIQUE(friend_id); UNIQUE(code),idx_affiliates_friend(friend_id)[unique]; sqlite_autoindex_affiliates_2(code)[unique],yes,0,missing_columns:friend_id,0,0 data rows; schema defect remains,no tenant migration; enforce deployment-level role policy and per-customer resource isolation
auto_replies,line_account,line_account_id,direct_nullable,template_id->templates.id[delete:SET NULL],PK(id),idx_auto_replies_template_id(template_id),yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,"enforce line_account FK, line_account context predicate, and account-prefixed unique/index"
automation_logs,line_account,automation_id -> automations.line_account_id; friend_id -> friends.line_account_id,derived_multi,friend_id->friends.id[delete:SET NULL]; automation_id->automations.id[delete:CASCADE],PK(id),idx_automation_logs_automation(automation_id),yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,validate same-account joins; add composite FK or denormalized line_account_id plus account-prefixed index
automations,line_account,line_account_id,direct,none,PK(id),idx_automations_event(event_type); idx_automations_active(is_active),yes,0,missing_columns:line_account_id,0,0 data rows; schema defect remains,"enforce line_account FK, line_account context predicate, and account-prefixed unique/index"
